Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citation Text Clean,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text
1.0,"Miller et al., 2000",0,0,"Section 5 compares our approach tooth ers in the literature, in particular that of (Miller et al., 2000)","Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)",W01-0510,"Results_Citation,Hypothesis_Citation,Implication_Citation,Method_Citation,Aim_Citation",A00-2030,"'2','6','0'","<S sid=""2"" ssid=""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S><S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid=""0"" ssid=""0"">A Novel Use of Statistical Parsing to Extract Information from Text</S>"
2.0,"Miller et al, 2000",0,0,"The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major di erences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major differences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller",W01-0510,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'33','34','6'","<S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid=""34"" ssid=""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S>"
3.0,"Miller et al, 2000",0,0,"The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)",W01-0510,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'33','10','6'","<S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid=""10"" ssid=""8"">Instead, our parsing algorithm, trained on the UPenn TREEBANK, was run on the New York Times source to create unsupervised syntactic training which was constrained to be consistent with semantic annotation.</S><S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S>"
4.0,"Miller et al, 2000",0,0,"One possibly bene cial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level",W01-0510,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'34','33','2'","<S sid=""34"" ssid=""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid=""2"" ssid=""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S>"
5.0,"Miller et al, 2000",0,0,"Similar to the approach in (Miller et al, 2000 )weinitialized the SLM statistics from the UPenn Tree bank parse trees (about 1Mwds of training data) at the rst training stage, see Section 3","Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees",W01-0510,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'10','51','6'","<S sid=""10"" ssid=""8"">Instead, our parsing algorithm, trained on the UPenn TREEBANK, was run on the New York Times source to create unsupervised syntactic training which was constrained to be consistent with semantic annotation.</S><S sid=""51"" ssid=""11"">To produce a corpus of augmented parse trees, we used the following multi-step training procedure which exploited the Penn TREEBANK Applying this procedure yielded a new version of the semantically annotated corpus, now annotated with complete augmented trees like that in Figure 3.</S><S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S>"
6.0,"Miller et al, 2000",0,0,"Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns",P14-1078,"Method_Citation,Aim_Citation,Results_Citation,Implication_Citation",A00-2030,"'6','2','104'","<S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid=""2"" ssid=""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S><S sid=""104"" ssid=""1"">We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S>"
7.0,2000,0,0,"One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations",P05-1061,"Results_Citation,Hypothesis_Citation,Implication_Citation,Method_Citation,Aim_Citation",A00-2030,"'2','6','33'","<S sid=""2"" ssid=""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S><S sid=""6"" ssid=""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S>"
8.0,2000,0,0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees",P05-1053,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'33','34','95'","<S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid=""34"" ssid=""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid=""95"" ssid=""14"">The semantics — that is, the entities and relations — can then be directly extracted from these sentential trees.</S>"
9.0,2000,0,0,"Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model",P05-1053,"Method_Citation,Hypothesis_Citation,Implication_Citation",A00-2030,"'61','2','33'","<S sid=""61"" ssid=""2"">The detailed probability structure differs, however, in that it was designed to jointly perform part-of-speech tagging, name finding, syntactic parsing, and relation finding in a single process.</S><S sid=""2"" ssid=""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S><S sid=""33"" ssid=""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S>"
10.0,2000,0,0,"(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable",H05-1094,"Hypothesis_Citation,Aim_Citation,Implication_Citation",A00-2030,"'0','23','104'","<S sid=""0"" ssid=""0"">A Novel Use of Statistical Parsing to Extract Information from Text</S><S sid=""23"" ssid=""6"">An integrated model can limit the propagation of errors by making all decisions jointly.</S><S sid=""104"" ssid=""1"">We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S>"
