Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,A00-2030,W01-0510,0,"Miller et al., 2000",0,"Section 5 compares our approach tooth ers in the literature, in particular that of (Miller et al., 2000)","Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)","['11', '77', '89', '65', '55']","<S sid =""11"" ssid = ""1"">We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh  1998).</S><S sid =""77"" ssid = ""18"">The probability of a complete tree is the product of the probabilities of generating each element in the tree.</S><S sid =""89"" ssid = ""8"">We can think of this prior probability as an estimate of the probability of generating a subtree with the constituent category  starting at the topmost node.</S><S sid =""65"" ssid = ""6"">We illustrate the generation process by walking through a few of the steps of the parse shown in Figure 3.</S><S sid =""55"" ssid = ""1"">syntactic modifier of the other  the inserted node serves to indicate the relation as well as the argument.</S>",['Method_Citation']
2,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major di erences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major differences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","['11', '100', '94', '39', '58']","<S sid =""11"" ssid = ""1"">We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh  1998).</S><S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""94"" ssid = ""13"">Given a new sentence  the outcome of this search process is a tree structure that encodes both the syntactic and semantic structure of the sentence.</S><S sid =""39"" ssid = ""7"">For example  the coreference relation between &quot;Nance&quot; and &quot;a paid consultant to ABC News&quot; is indicated by &quot;per-desc-of.&quot; In this case  because the argument does not connect directly to the relation  the intervening nodes are labeled with semantics &quot;-ptr&quot; to indicate the connection.</S><S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree  semantic pointer labels are attached to all of the intermediate nodes.</S>",['Method_Citation']
3,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","['108', '55', '50', '99', '39']","<S sid =""108"" ssid = ""5"">This simple semantic annotation was the only source of task knowledge used to configure the model.</S><S sid =""55"" ssid = ""1"">syntactic modifier of the other  the inserted node serves to indicate the relation as well as the argument.</S><S sid =""50"" ssid = ""10"">Figure 4 shows an example of the semantic annotation  which was the only type of manual annotation we performed.</S><S sid =""99"" ssid = ""4"">Nearly all of the work was done by the sentential model; disabling the cross-sentence model entirely reduced our overall F-Score by only 2 points.</S><S sid =""39"" ssid = ""7"">For example  the coreference relation between &quot;Nance&quot; and &quot;a paid consultant to ABC News&quot; is indicated by &quot;per-desc-of.&quot; In this case  because the argument does not connect directly to the relation  the intervening nodes are labeled with semantics &quot;-ptr&quot; to indicate the connection.</S>",['Method_Citation']
4,A00-2030,W01-0510,0,"Miller et al, 2000",0,"One possibly bene cial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","['39', '111', '100', '11', '94']","<S sid =""39"" ssid = ""7"">For example  the coreference relation between &quot;Nance&quot; and &quot;a paid consultant to ABC News&quot; is indicated by &quot;per-desc-of.&quot; In this case  because the argument does not connect directly to the relation  the intervening nodes are labeled with semantics &quot;-ptr&quot; to indicate the connection.</S><S sid =""111"" ssid = ""3"">The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies  either expressed or implied  of the Defense Advanced Research Projects Agency or the United States Government.</S><S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""11"" ssid = ""1"">We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh  1998).</S><S sid =""94"" ssid = ""13"">Given a new sentence  the outcome of this search process is a tree structure that encodes both the syntactic and semantic structure of the sentence.</S>",['Implication_Citation']
5,A00-2030,W01-0510,0,"Miller et al, 2000",0,"Similar to the approach in (Miller et al, 2000 )weinitialized the SLM statistics from the UPenn Tree bank parse trees (about 1Mwds of training data) at the rst training stage, see Section 3","Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees","['65', '11', '77', '51', '66']","<S sid =""65"" ssid = ""6"">We illustrate the generation process by walking through a few of the steps of the parse shown in Figure 3.</S><S sid =""11"" ssid = ""1"">We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh  1998).</S><S sid =""77"" ssid = ""18"">The probability of a complete tree is the product of the probabilities of generating each element in the tree.</S><S sid =""51"" ssid = ""11"">To produce a corpus of augmented parse trees  we used the following multi-step training procedure which exploited the Penn TREEBANK Applying this procedure yielded a new version of the semantically annotated corpus  now annotated with complete augmented trees like that in Figure 3.</S><S sid =""66"" ssid = ""7"">At each step in the process  a choice is made from a statistical distribution  with the probability of each possible selection dependent on particular features of previously generated elements.</S>",['Method_Citation']
6,A00-2030,P14-1078,0,"Miller et al, 2000",0,"Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","['44', '58', '59', '18', '5']","<S sid =""44"" ssid = ""4"">Instead  we applied an information retrieval system to select a large number of articles from the desired sources  yielding a corpus rich in the desired types of events.</S><S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree  semantic pointer labels are attached to all of the intermediate nodes.</S><S sid =""59"" ssid = ""5"">These labels serve to form a continuous chain between the relation and its argument.</S><S sid =""18"" ssid = ""1"">Almost all approaches to information extraction — even at the sentence level — are based on the divide-and-conquer strategy of reducing a complex problem to a set of simpler ones.</S><S sid =""5"" ssid = ""3"">Chiba  (1999) was able to use such a parsing algorithm to reduce perplexity with the long term goal of improved speech recognition.</S>",['Method_Citation']
7,A00-2030,P05-1061,0,2000,0,"One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","['58', '42', '94', '39', '95']","<S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree  semantic pointer labels are attached to all of the intermediate nodes.</S><S sid =""42"" ssid = ""2"">Since it was known that the MUC-7 evaluation data would be drawn from a variety of newswire sources  and that the articles would focus on rocket launches  it was important that our training corpus be drawn from similar sources and that it cover similar events.</S><S sid =""94"" ssid = ""13"">Given a new sentence  the outcome of this search process is a tree structure that encodes both the syntactic and semantic structure of the sentence.</S><S sid =""39"" ssid = ""7"">For example  the coreference relation between &quot;Nance&quot; and &quot;a paid consultant to ABC News&quot; is indicated by &quot;per-desc-of.&quot; In this case  because the argument does not connect directly to the relation  the intervening nodes are labeled with semantics &quot;-ptr&quot; to indicate the connection.</S><S sid =""95"" ssid = ""14"">The semantics — that is  the entities and relations — can then be directly extracted from these sentential trees.</S>",['Method_Citation']
8,A00-2030,P05-1053,0,2000,0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","['52', '34', '51', '46', '33']","<S sid =""52"" ssid = ""1"">In this section  we describe the algorithm that was used to automatically produce augmented trees  starting with a) human-generated semantic annotations and b) machinegenerated syntactic parse trees.</S><S sid =""34"" ssid = ""2"">In these trees  the standard TREEBANK structures are augmented to convey semantic information  that is  entities and relations.</S><S sid =""51"" ssid = ""11"">To produce a corpus of augmented parse trees  we used the following multi-step training procedure which exploited the Penn TREEBANK Applying this procedure yielded a new version of the semantically annotated corpus  now annotated with complete augmented trees like that in Figure 3.</S><S sid =""46"" ssid = ""6"">Initially  we tried to annotate the training corpus by hand marking  for each sentence  the entire augmented tree.</S><S sid =""33"" ssid = ""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S>",['Method_Citation']
9,A00-2030,P05-1053,0,2000,0,"Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","['58', '59', '31', '30', '2']","<S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree  semantic pointer labels are attached to all of the intermediate nodes.</S><S sid =""59"" ssid = ""5"">These labels serve to form a continuous chain between the relation and its argument.</S><S sid =""31"" ssid = ""14"">If the single generalized model could then be extended to semantic analysis  all necessary sentence level processing would be contained in that model.</S><S sid =""30"" ssid = ""13"">Although each model differed in its detailed probability structure  we believed that the essential elements of all three models could be generalized in a single probability model.</S><S sid =""2"" ssid = ""2"">In this paper we report adapting a lexic al ized  probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S>",['Method_Citation']
10,A00-2030,H05-1094,0,2000,0,"(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","['58', '42', '29', '55', '32']","<S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree  semantic pointer labels are attached to all of the intermediate nodes.</S><S sid =""42"" ssid = ""2"">Since it was known that the MUC-7 evaluation data would be drawn from a variety of newswire sources  and that the articles would focus on rocket launches  it was important that our training corpus be drawn from similar sources and that it cover similar events.</S><S sid =""29"" ssid = ""12"">Thus  each component of what would be the first three stages of our pipeline was based on the same general class of statistical model.</S><S sid =""55"" ssid = ""1"">syntactic modifier of the other  the inserted node serves to indicate the relation as well as the argument.</S><S sid =""32"" ssid = ""15"">Because generative statistical models had already proven successful for each of the first three stages  we were optimistic that some of their properties — especially their ability to learn from large amounts of data  and their robustness when presented with unexpected inputs — would also benefit semantic analysis.</S>",['Implication_Citation']
